"LEAID","NCESSCH","TYPE99","STATUS99","FTE99","FRELCH99","REDLCH99","TOTFRL99","MIGRNT99","MEMBER99","G0999","G1099","G1199","G1299","ASIAN99","HISP99","BLACK99","WHITE99","TOTETH99","PUPTCH99","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"3620580","362058001950","1","1",85.8,1112,0,1112,NA,2383,773,789,374,339,536,1126,526,191,2383,27.8,"1",2,110,412,211,38,1,221,352,142,73,0,98,165,71,40,1,100,146,63,29
"3620580","362058001951","1","1",172.4,500,0,500,NA,3385,547,1205,814,646,781,711,342,1544,3385,19.6,"1",0,93,121,104,229,2,265,278,99,561,1,221,149,54,389,2,192,113,30,309
"3620580","362058001952","1","1",197.7,650,0,650,NA,4314,1465,1235,745,661,973,1353,186,1798,4314,21.8,"1",1,321,499,66,578,1,306,384,51,493,0,181,195,21,348,2,152,164,23,320
"3620580","362058001953","1","1",176.3,1039,0,1039,NA,3531,431,1337,997,572,1402,642,475,1006,3531,20,"1",0,154,75,98,104,2,527,284,168,356,3,441,174,85,294,1,246,74,58,193
"3620580","362058001954","1","1",169.7,2404,0,2404,NA,3403,1428,1027,298,415,296,1988,921,186,3403,20.1,"1",4,113,803,412,96,3,109,631,244,40,3,19,190,69,17,2,49,240,107,17
"3620580","362058001955","3","1",80.6,1086,0,1086,NA,1572,558,352,250,289,14,283,1254,16,1572,19.5,"1",1,6,98,446,7,1,6,60,283,2,1,1,36,211,1,2,1,49,233,4
"3620580","362058001956","1","1",130.3,2320,0,2320,NA,2496,1281,523,303,229,3,187,2289,12,2496,19.2,"1",2,2,109,1161,7,2,1,31,486,3,0,0,21,282,0,1,0,15,212,1
"3620580","362058001957","1","1",65.2,610,0,610,NA,856,42,271,414,75,2,798,50,4,856,13.1,"1",0,0,36,6,0,1,0,245,25,0,1,1,396,13,3,0,1,72,2,0
"3620580","362058001958","3","1",88,1107,0,1107,NA,1489,546,335,255,143,26,860,573,26,1489,16.9,"1",1,10,326,202,7,2,7,200,124,2,0,4,145,101,5,0,2,74,65,2
"3620580","362058001959","1","1",154.7,1323,0,1323,NA,3305,1226,952,463,428,243,1827,266,965,3305,21.4,"1",2,67,716,110,331,1,81,525,54,291,1,43,229,31,159,0,48,216,21,143
"3620580","362058001963","1","1",116.6,163,0,163,NA,2493,1063,648,275,257,42,631,1771,41,2493,21.4,"1",3,23,291,723,23,3,7,161,466,11,1,6,56,209,3,1,2,47,204,3
"3620580","362058001964","1","1",109.4,1521,0,1521,NA,3739,1264,876,796,468,345,1810,586,969,3739,34.2,"1",9,111,631,174,339,4,87,429,128,228,9,79,376,117,215,4,59,188,88,129
"3620580","362058001965","1","1",158.6,1221,0,1221,NA,3360,1281,790,547,558,727,753,1681,179,3360,21.2,"1",3,239,325,642,72,6,187,182,381,34,5,144,111,255,32,5,143,96,281,33
"3620580","362058002008","1","1",121.1,1008,0,1008,NA,2503,1026,687,437,193,453,433,1544,58,2503,20.7,"1",6,179,196,620,25,3,135,113,416,20,4,90,66,270,7,2,43,38,108,2
"3620580","362058002009","1","1",166.2,1003,0,1003,NA,3683,1229,1035,800,456,407,349,591,2323,3683,22.2,"1",5,142,125,154,803,3,135,89,169,639,1,87,75,115,522,1,39,29,90,297
"3620580","362058002011","3","1",99.9,1236,0,1236,NA,1749,738,440,201,201,11,1022,703,5,1749,17.5,"1",5,5,425,300,3,1,2,263,174,0,1,1,114,84,1,0,1,124,76,0
"3620580","362058002013","1","1",187.2,1213,0,1213,NA,3873,1617,926,617,473,939,1133,1202,566,3873,20.7,"1",4,381,505,524,203,10,248,264,280,124,11,156,169,174,107,7,137,114,116,99
"3620580","362058002014","1","1",169.3,1387,0,1387,NA,3873,1528,1085,513,575,944,1815,803,303,3873,22.9,"1",4,245,819,361,99,1,321,473,200,90,1,165,209,92,46,2,197,217,108,51
"3620580","362058002016","1","1",212.1,3118,0,3118,NA,4275,1851,1026,503,548,166,2956,910,237,4275,20.2,"1",1,51,1314,389,96,1,44,726,190,65,1,32,329,113,28,2,36,387,87,36
"3620580","362058002017","1","1",111.3,1012,0,1012,NA,2675,1215,626,315,286,186,1355,991,126,2675,24,"1",10,102,613,421,69,3,44,303,251,25,2,14,173,115,11,1,24,144,109,8
"3620580","362058002020","1","1",47,241,1,242,NA,277,NA,NA,NA,NA,1,88,170,15,277,5.9,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3620580","362058002022","1","1",159.8,2193,0,2193,NA,3290,1343,809,567,324,652,1507,505,621,3290,20.6,"1",2,260,636,206,239,2,175,369,113,150,0,126,248,75,118,0,74,139,37,74
